epoch,train_loss,train_mse_R,train_mse_G,train_mse_B,train_mse_avg,val_loss,val_mse_R,val_mse_G,val_mse_B,val_mse_avg,lr,epoch_time_s
1,0.045298,0.045593,0.041982,0.048318,0.045298,0.033250,0.032900,0.030728,0.036123,0.033250,1.00e-05,150.1
2,0.044029,0.045382,0.040551,0.046154,0.044029,0.035901,0.035543,0.032659,0.039502,0.035901,1.00e-05,129.2
3,0.043579,0.044744,0.040041,0.045951,0.043579,0.031301,0.033523,0.028636,0.031745,0.031301,1.00e-05,142.6
4,0.042728,0.044311,0.039483,0.044391,0.042728,0.033143,0.032529,0.030583,0.036318,0.033143,1.00e-05,131.1
5,0.043481,0.044873,0.040039,0.045532,0.043481,0.034552,0.034666,0.032013,0.036978,0.034552,1.00e-05,114.6
6,0.043071,0.044251,0.039590,0.045373,0.043071,0.031409,0.031724,0.027909,0.034593,0.031409,1.00e-05,121.1
7,0.041966,0.043267,0.038517,0.044113,0.041966,0.032736,0.031680,0.029982,0.036545,0.032736,1.00e-05,138.7
8,0.040932,0.042641,0.037813,0.042342,0.040932,0.030066,0.028076,0.027367,0.034755,0.030066,1.00e-05,138.1
9,0.041527,0.042732,0.038053,0.043797,0.041527,0.029932,0.028948,0.026681,0.034166,0.029932,1.00e-05,148.4
10,0.040836,0.041947,0.037555,0.043006,0.040836,0.029888,0.028694,0.027100,0.033869,0.029888,1.00e-05,142.5
11,0.039981,0.041738,0.036832,0.041372,0.039981,0.029658,0.027603,0.026932,0.034441,0.029658,1.00e-05,150.2
12,0.042402,0.043185,0.039179,0.044841,0.042402,0.030755,0.030603,0.028458,0.033203,0.030755,1.00e-05,138.2
13,0.042061,0.043245,0.038813,0.044125,0.042061,0.032160,0.030106,0.028968,0.037405,0.032160,1.00e-05,145.1
14,0.040989,0.042148,0.037674,0.043145,0.040989,0.029601,0.028015,0.026560,0.034228,0.029601,1.00e-05,134.4
15,0.040349,0.041088,0.037032,0.042926,0.040349,0.029234,0.027889,0.026202,0.033609,0.029234,1.00e-05,139.9
16,0.039369,0.040566,0.036059,0.041483,0.039369,0.032049,0.030131,0.029141,0.036873,0.032049,1.00e-05,141.9
17,0.039922,0.041133,0.036767,0.041867,0.039922,0.027774,0.027696,0.025352,0.030275,0.027774,1.00e-05,137.2
18,0.040136,0.041339,0.036684,0.042385,0.040136,0.028962,0.027476,0.026400,0.033009,0.028962,1.00e-05,132.6
19,0.041168,0.042027,0.037667,0.043809,0.041168,0.027752,0.026945,0.025522,0.030788,0.027752,1.00e-05,113.6
20,0.040250,0.042135,0.036977,0.041637,0.040250,0.030765,0.030378,0.028128,0.033791,0.030765,1.00e-05,117.9
