epoch,train_loss,train_mse_R,train_mse_G,train_mse_B,train_mse_avg,val_loss,val_mse_R,val_mse_G,val_mse_B,val_mse_avg,lr,epoch_time_s
epoch,train_loss,train_mse_R,train_mse_G,train_mse_B,train_mse_avg,val_loss,val_mse_R,val_mse_G,val_mse_B,val_mse_avg,lr,epoch_time_s
1,0.398461,0.040790,0.036748,0.043560,0.040366,0.315121,0.035136,0.031078,0.039088,0.035101,1.00e-05,289.0
2,0.395739,0.042442,0.038510,0.045683,0.042211,0.295454,0.028140,0.028150,0.035957,0.030749,1.00e-05,253.2
3,0.389048,0.041312,0.037529,0.045318,0.041386,0.300567,0.037176,0.035348,0.043547,0.038691,1.00e-05,226.9
4,0.387237,0.042326,0.039183,0.047159,0.042890,0.271103,0.027294,0.026345,0.033370,0.029003,1.00e-05,249.6
5,0.387327,0.043177,0.040066,0.047671,0.043638,0.297370,0.030155,0.028797,0.035968,0.031640,1.00e-05,232.7
6,0.383663,0.042919,0.039860,0.047343,0.043374,0.283001,0.030962,0.030618,0.037390,0.032990,1.00e-05,274.1
7,0.382930,0.043256,0.041134,0.049433,0.044608,0.296441,0.035319,0.033758,0.042549,0.037209,1.00e-05,266.5
8,0.382028,0.042844,0.039952,0.047421,0.043406,0.295840,0.028120,0.027074,0.034594,0.029929,1.00e-05,251.3
9,0.382115,0.043080,0.040836,0.049430,0.044449,0.274208,0.037837,0.036968,0.044165,0.039657,1.00e-05,245.5
10,0.379804,0.042304,0.039642,0.047588,0.043178,0.265284,0.027554,0.025952,0.033236,0.028914,5.00e-06,249.3
11,0.377032,0.042521,0.039690,0.047892,0.043368,0.283237,0.039937,0.040620,0.048593,0.043050,5.00e-06,250.5
12,0.379498,0.042814,0.040034,0.048401,0.043750,0.304146,0.037919,0.037529,0.044062,0.039836,5.00e-06,255.0
13,0.377989,0.042395,0.039636,0.048138,0.043389,0.268794,0.032112,0.033474,0.042384,0.035990,5.00e-06,258.5
14,0.374240,0.042471,0.039773,0.047156,0.043133,0.283114,0.029956,0.030285,0.038624,0.032955,5.00e-06,241.8
15,0.376598,0.042666,0.039530,0.047457,0.043218,0.286503,0.025634,0.026113,0.035113,0.028953,5.00e-06,247.2
16,0.379178,0.041409,0.038406,0.046604,0.042140,0.277859,0.041251,0.040784,0.048144,0.043393,2.50e-06,255.9
17,0.373264,0.041396,0.039041,0.047203,0.042547,0.277176,0.029990,0.031930,0.039943,0.033954,2.50e-06,229.1
18,0.372574,0.042741,0.039795,0.047579,0.043371,0.278189,0.037731,0.036179,0.042083,0.038664,2.50e-06,265.4
19,0.379011,0.042825,0.039768,0.047906,0.043499,0.275060,0.028762,0.029015,0.036449,0.031409,2.50e-06,255.1
20,0.383296,0.042892,0.040025,0.048959,0.043959,0.271141,0.028003,0.028135,0.035446,0.030528,2.50e-06,251.3
