epoch,color_scale,train_loss,train_mse_R,train_mse_G,train_mse_B,train_mse_avg,val_loss,val_mse_R,val_mse_G,val_mse_B,val_mse_avg,lr,epoch_time_s
1,0.00,0.522906,0.087003,0.075221,0.085340,0.082521,0.365298,0.065035,0.060908,0.060863,0.062269,1.00e-04,230.5
2,0.00,0.436560,0.073284,0.062638,0.071724,0.069216,0.329915,0.061617,0.054383,0.054393,0.056798,9.76e-05,222.2
3,0.00,0.415972,0.075327,0.063114,0.072551,0.070331,0.320852,0.040421,0.036072,0.046618,0.041037,9.05e-05,237.3
4,0.00,0.420589,0.077432,0.062756,0.070546,0.070245,0.325939,0.060073,0.050794,0.058724,0.056530,7.94e-05,262.8
5,0.00,0.415918,0.078970,0.061877,0.069502,0.070116,0.318829,0.057893,0.045529,0.054234,0.052552,6.55e-05,255.0
6,0.20,0.443956,0.074522,0.060207,0.065791,0.066840,0.324755,0.042651,0.034886,0.040081,0.039206,5.01e-05,225.9
7,0.40,0.469306,0.071056,0.057910,0.062332,0.063766,0.347494,0.039228,0.034081,0.040403,0.037904,3.46e-05,217.9
8,0.60,0.502649,0.068388,0.057680,0.063494,0.063187,0.410793,0.046667,0.043347,0.052010,0.047341,2.07e-05,218.0
9,0.80,0.536846,0.066917,0.055443,0.060243,0.060868,0.414220,0.037197,0.032575,0.041110,0.036960,9.64e-06,218.0
10,1.00,0.570537,0.065804,0.055215,0.060782,0.060600,0.437839,0.040068,0.035931,0.042674,0.039558,2.54e-06,217.8
11,1.00,0.565220,0.062717,0.052697,0.057592,0.057669,0.435188,0.042951,0.039525,0.047417,0.043297,1.00e-04,217.9
12,1.00,0.559367,0.058640,0.050087,0.055957,0.054894,0.440997,0.035519,0.036621,0.049898,0.040679,9.76e-05,217.5
13,1.00,0.559304,0.056757,0.049308,0.055636,0.053901,0.406971,0.028407,0.026656,0.030992,0.028685,9.05e-05,218.9
14,1.00,0.554679,0.055991,0.048106,0.052800,0.052299,0.460115,0.042664,0.039601,0.048674,0.043646,7.94e-05,218.6
15,1.00,0.555861,0.056711,0.048239,0.052852,0.052601,0.435356,0.031472,0.030522,0.036284,0.032760,6.55e-05,217.8
16,1.00,0.556679,0.056730,0.048911,0.053986,0.053209,0.397288,0.025309,0.026654,0.033702,0.028555,5.01e-05,219.1
17,1.00,0.552298,0.055323,0.047981,0.052427,0.051910,0.415695,0.029975,0.031354,0.036522,0.032617,3.46e-05,217.9
18,1.00,0.550754,0.055534,0.048212,0.053755,0.052500,0.405111,0.026602,0.027293,0.033978,0.029291,2.07e-05,218.1
19,1.00,0.541754,0.055631,0.047289,0.052350,0.051757,0.390946,0.028045,0.027985,0.034139,0.030056,9.64e-06,218.5
20,1.00,0.544539,0.055939,0.049095,0.054136,0.053056,0.391346,0.028169,0.027922,0.035089,0.030393,2.54e-06,217.5
21,1.00,0.555922,0.056298,0.049182,0.054581,0.053354,0.412522,0.031328,0.030734,0.036252,0.032771,1.00e-04,217.5
22,1.00,0.550721,0.055144,0.047281,0.052195,0.051540,0.428446,0.033270,0.034628,0.044279,0.037392,9.76e-05,217.4
23,1.00,0.548448,0.054826,0.048064,0.052422,0.051771,0.464065,0.041280,0.037820,0.044997,0.041366,9.05e-05,216.9
24,1.00,0.555336,0.054103,0.046747,0.051933,0.050927,0.473312,0.041440,0.041028,0.051430,0.044633,7.94e-05,217.3
25,1.00,0.547736,0.055315,0.046793,0.051462,0.051190,0.389418,0.027181,0.027000,0.031178,0.028453,6.55e-05,217.5
26,1.00,0.545696,0.054187,0.046416,0.050901,0.050501,0.387696,0.027146,0.026827,0.032534,0.028836,5.01e-05,217.6
27,1.00,0.562956,0.058080,0.049309,0.053369,0.053586,0.413550,0.031678,0.030979,0.038823,0.033827,3.46e-05,231.1
28,1.00,0.552848,0.056636,0.049609,0.054206,0.053484,0.399549,0.029595,0.032161,0.040776,0.034177,2.07e-05,218.0
29,1.00,0.546199,0.054372,0.047402,0.052121,0.051298,0.409721,0.031226,0.030920,0.037476,0.033207,9.64e-06,218.7
30,1.00,0.545351,0.052533,0.046535,0.051558,0.050209,0.431273,0.031126,0.031685,0.041455,0.034755,2.54e-06,218.1
